full_name,salary2,yearID,,,,,,,,,,,,,,,,,,,,,,
B.J. Surhoff,"$4,146,789 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tony Clark,"$4,062,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Johnny Damon,"$4,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rondell White,"$4,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Dan Wilson,"$4,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Damion Easley,"$3,950,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bret Boone,"$3,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Nomar Garciaparra,"$3,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Andruw Jones,"$3,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Reggie Sanders,"$3,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeff Cirillo,"$3,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rusty Greer,"$3,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Vladimir Guerrero,"$3,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Vizcaino,"$3,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Luis Gonzalez,"$3,333,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Hernandez,"$3,333,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Garret Anderson,"$3,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Garret Anderson,"$3,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeffrey Hammonds,"$3,183,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jason Giambi,"$3,103,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Matt Stairs,"$3,050,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Alex S. Gonzalez,"$3,025,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike Bordick,"$3,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Canseco,"$3,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark Grudzielanek,"$3,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Omar Vizquel,"$3,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
John Flaherty,"$2,947,410 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bobby Abreu,"$2,933,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Scott Rolen,"$2,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Sandy Alomar Jr.,"$2,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Chris Gomez,"$2,600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jeff Conine,"$2,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Darin Erstad,"$2,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Darrin Fletcher,"$2,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ricky Gutierrez,"$2,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark Loretta,"$2,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tony Womack,"$2,500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Roger Cedeno,"$2,400,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Gerald Williams,"$2,373,439 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jermaine Dye,"$2,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rey Sanchez,"$2,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Fernando Vina,"$2,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jason Kendall,"$2,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rey Ordonez,"$2,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Edgar Renteria,"$2,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike Sweeney,"$2,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike Cameron,"$2,225,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Neifi Perez,"$2,212,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Wilfredo Cordero,"$2,166,667 ",2000,,,,,,,,,,,,,,,,,,,,,,
Doug Glanville,"$2,016,667 ",2000,,,,,,,,,,,,,,,,,,,,,,
Harold Baines,"$2,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
